NFT No,File Path,Name,Size (KB),CRC Value,NFT ID,Containment Field,Containment Field ID,Containment Field %,Heart Humidor,Heart Humidor ID,Heart Humidor %,Brain Bucket,Brain Bucket ID,Brain Bucket %,Exhaust Spout,Exhaust Spout ID,Exhaust Spout %,Aroma Nozzle,Aroma Nozzle ID,Aroma Nozzle %,Widget,Widget ID,Widget %,Rarity Score,Listing Price,Rarity Type,Rarity Counts,Description,Listed on OpenSea?,Contract Address,token_id
11,C:\Users\twintersx\Documents\layer.bot\nfts\#11,#11,1558365,52059F43,8593499e619e6937,Glow,95852b9e6329db64,0.1,Tee,bdd26db2c90d72c0,0.15,Say Aaah,e4929b6d66303367,0.15,Blank,8000000000000000,1,Nozzle Port,e626999966669999,0.1,Birdbrain,d5aa5554ab54aaa5,0.15,29629.629629629628,0.01,Luxury,14,"Chopzy#11 is seen as LUXURY in TinMania.
There exists only 14 LUXURY Chopzies in the entire metaverse of TinMania.  
",no,contract_placeholder,token_id_placeholder
12,C:\Users\twintersx\Documents\layer.bot\nfts\#12,#12,1557262,EBE3131B,e4b6cc99e3966035,Glow,809124cb66b96f9f,0.1,Tee,bdd26db2c90d72c0,0.15,Big Teeth,e4c69b3967662493,0.1,Fruit Bowl,b434369b9b9b1989,0.1,Average,ed6c92926d6c9293,0.7,Blank,8000000000000000,1,9523.809523809523,0.005,Luxury,14,"Chopzy#12 is seen as LUXURY in TinMania.
There exists only 14 LUXURY Chopzies in the entire metaverse of TinMania.  
",no,contract_placeholder,token_id_placeholder
13,C:\Users\twintersx\Documents\layer.bot\nfts\#13,#13,1454184,E3EEC37A,94c64b3163ceed31,Curlies,94c568e6299bed0b,0.1,Shirt,b7c03dc24db22fd0,0.1,Big Teeth,e4ce9b316d646493,0.15,Tin,b03030c6cfcfcbc9,0.3,Average,ed6c92926d6c9293,0.7,Blank,8000000000000000,1,3174.6031746031745,0.005,OEM,5,"Chopzy#13 is seen as OEM in TinMania.
There exists only 5 OEM Chopzies in the entire metaverse of TinMania.  
",no,contract_placeholder,token_id_placeholder
14,C:\Users\twintersx\Documents\layer.bot\nfts\#14,#14,1816029,208C4C12,95cc1b6c6d663c34,Glow,95947a5e6a5a296a,0.15,Naked,bdc23fe4c22dd248,0.3,Bummed,e4ce9b316c3620cf,0.1,Tin,b03030c6cfcfcbc9,0.3,Average,ed6c92926d6c9293,0.7,Blank,8000000000000000,1,1058.2010582010582,0.005,OEM,5,"Chopzy#14 is seen as OEM in TinMania.
There exists only 5 OEM Chopzies in the entire metaverse of TinMania.  
",no,contract_placeholder,token_id_placeholder
15,C:\Users\twintersx\Documents\layer.bot\nfts\#15,#15,2493868,6AF7999A,ac077c9478b24df1,Sky,a01af126ce788df3,0.1,Tee,acd33dc219e49b34,0.1,Big Teeth,e4d69a6d653464c3,0.1,Beanie,bc34c3c31c3cc3d3,0.1,Average,ed6c92926d6c9293,0.7,Blank,8000000000000000,1,14285.71428571428,0.005,Luxury,14,"Chopzy#15 is seen as LUXURY in TinMania.
There exists only 14 LUXURY Chopzies in the entire metaverse of TinMania.  
",no,contract_placeholder,token_id_placeholder
16,C:\Users\twintersx\Documents\layer.bot\nfts\#16,#16,1387772,BA371529,b6c81fc939760ce2,Glow,94926b4f661c3a73,0.1,Painted,add22dd2c23dd249,0.15,Cancer Stick,e4c69b3965c63493,0.1,Painted,b632c1c1c93ececc,0.3,Shades,e3669c9863679c98,0.1,Blank,8000000000000000,1,22222.222222222223,0.01,Luxury,14,"Chopzy#16 is seen as LUXURY in TinMania.
There exists only 14 LUXURY Chopzies in the entire metaverse of TinMania.  
100% of TinMania! proceeds from the 'Cancer Stick' trait are donated to the [GO2 Foundation](https://go2foundation.org/get-involved/donate-cryptocurrency/) for Lung Cancer.",no,contract_placeholder,token_id_placeholder
17,C:\Users\twintersx\Documents\layer.bot\nfts\#17,#17,840508,D1E9EE64,f48293d938d62667,Solid,8800220088002200,0.2,Shirt,b7c83dc249b22fd0,0.1,Happy,e4ce9b396c666483,0.1,Painted,b632c1c1c93ececc,0.3,Average,ed6c92926d6c9293,0.7,Birdbrain,d5aa5554ab54aaa5,0.15,15873.01587301587,0.005,Luxury,14,"Chopzy#17 is seen as LUXURY in TinMania.
There exists only 14 LUXURY Chopzies in the entire metaverse of TinMania.  
",no,contract_placeholder,token_id_placeholder
18,C:\Users\twintersx\Documents\layer.bot\nfts\#18,#18,1385329,5CD7BA22,b4c23bc12fc64c73,Curlies,94c12ac31bdf634e,0.1,Shirt,b7c83dc24db00ff0,0.1,Tongue,e49e9b71868c6663,0.1,Tin,b03030c6cfcfcbc9,0.3,Bent,ed24929b6d64929b,0.1,Blank,8000000000000000,1,33333.33333333332,0.01,Luxury,14,"Chopzy#18 is seen as LUXURY in TinMania.
There exists only 14 LUXURY Chopzies in the entire metaverse of TinMania.  
",no,contract_placeholder,token_id_placeholder
19,C:\Users\twintersx\Documents\layer.bot\nfts\#19,#19,939699,78DA1E97,b7cc9bc839310ce6,Solid,99cc663399cc6633,0.1,Naked,bdc23fe4c22dd248,0.3,Soop,e4929bcd673066c6,0.1,Painted,b632c1c1c93ececc,0.3,Sneeze,ec6c93926c6c9393,0.15,Blank,8000000000000000,1,7407.407407407407,0.005,Luxury,14,"Chopzy#19 is seen as LUXURY in TinMania.
There exists only 14 LUXURY Chopzies in the entire metaverse of TinMania.  
",no,contract_placeholder,token_id_placeholder
20,C:\Users\twintersx\Documents\layer.bot\nfts\#20,#20,968916,49E6D965,b0cc1be139c66d72,Solid,8800220088002200,0.2,Naked,bdc23fe4c22dd248,0.3,Vape,b4ce9b31cd306639,0.1,Blank,8000000000000000,1,Average,ed6c92926d6c9293,0.7,Blank,8000000000000000,1,238.0952380952381,0.005,OEM,5,"Chopzy#20 is seen as OEM in TinMania.
There exists only 5 OEM Chopzies in the entire metaverse of TinMania.  
",no,contract_placeholder,token_id_placeholder
