NFT No,File Path,Name,Size (KB),CRC Value,NFT ID,Containment Field,Containment Field ID,Containment Field %,Heart Humidor,Heart Humidor ID,Heart Humidor %,Brain Bucket,Brain Bucket ID,Brain Bucket %,Exhaust Spout,Exhaust Spout ID,Exhaust Spout %,Aroma Nozzle,Aroma Nozzle ID,Aroma Nozzle %,Rarity Score,Listing Price,Rarity Type,Rarity Counts,Description,Listed on OpenSea?,Contract Address,token_id
999,C:\Users\twintersx\Documents\layer.bot\finals\#999.PNG,#999,1238034,D23EDAC9,c49d5b3969662437,Glow,95956a5e6a7a292a,0.0136,Tee,bfc02f30c32db0cb,0.0039,Cancer Stick,b4c2cb3dc99e3461,0.0032,Blank,8000000000000000,1,Large,ea6a95916a6e9591,0.0327,2248.6058643640945,0.005,OEM,1515,"**#999 is seen as OEM in TinMania.**
There exists only 1515 OEM Chopzies in the entire metaverse of TinMania.  
",yes,0x2953399124f0cbb46d2cbacd8a89cf0599974963,60674814258320342811872185747820543606661342593621638378285444977387976523777
89,C:\Users\twintersx\Documents\layer.bot\finals\#89.PNG,#89,1837677,8F9FD776,84cb1b316fcc6c33,Glow,95856a8f6a1e293e,0.012,Tee,afc03f2798e22d98,0.019,Say Aaah,e4ce9b31664c6633,0.005,Tin,b03030c6cfcfcbc9,0.1923,Average,ed6c92926d6c9293,0.5773,750.6507316127278,0.005,OEM,1515,"**#89 is seen as OEM in TinMania.**
There exists only 1515 OEM Chopzies in the entire metaverse of TinMania.  
",yes,0x2953399124f0cbb46d2cbacd8a89cf0599974963,60674814258320342811872185747820543606661342593621638378285444979586999779329
168,C:\Users\twintersx\Documents\layer.bot\finals\#168.PNG,#168,1417530,93D947ED,cc35e339922ec46d,Curlies,9457a866893add2b,0.0119,Shirt,afd02f36c22dd249,0.0197,Widget,e4c69b396c2666c3,0.0107,Tin,b03030c6cfcfcbc9,0.1923,Average,ed6c92926d6c9293,0.5773,756.9587209540111,0.005,OEM,1515,"**#168 is seen as OEM in TinMania.**
There exists only 1515 OEM Chopzies in the entire metaverse of TinMania.  
",yes,0x2953399124f0cbb46d2cbacd8a89cf0599974963,60674814258320342811872185747820543606661342593621638378285444981786023034881
1376,C:\Users\twintersx\Documents\layer.bot\finals\#1376.PNG,#1376,1623618,71180B11,b4c21bc46ce63d36,Glow,95957a5e6a5a2968,0.0106,Blue,ad04fb24937c836d,0.0936,Bummed,e4ce9b316464659b,0.0072,Blue,b03030cecfcfcb89,0.0658,Average,ed6c92926d6c9293,0.5773,26533.2735740842,0.005,OEM,1515,"**#1376 is seen as OEM in TinMania.**
There exists only 1515 OEM Chopzies in the entire metaverse of TinMania.  
",yes,0x2953399124f0cbb46d2cbacd8a89cf0599974963,60674814258320342811872185747820543606661342593621638378285444983985046290433
183,C:\Users\twintersx\Documents\layer.bot\finals\#183.PNG,#183,1239201,6D860DF0,e4cc9b906dc63cb2,Stripez,8aed88efc017c566,0.0123,Tin,bdc23fe4c22dd248,0.218,Say Aaah,e4ce9b31674c6623,0.0063,Blank,8000000000000000,1,Flames,ec4493bb6c4492bb,0.0077,48433.70249501374,0.005,OEM,1515,"**#183 is seen as OEM in TinMania.**
There exists only 1515 OEM Chopzies in the entire metaverse of TinMania.  
",yes,0x2953399124f0cbb46d2cbacd8a89cf0599974963,60674814258320342811872185747820543606661342593621638378285444986184069545985
565,C:\Users\twintersx\Documents\layer.bot\finals\#565.PNG,#565,956105,38BD641,b3c41fcc33623c66,Glow,94906ac57f943e33,0.0111,Tin,bdc23fe4c22dd248,0.218,Tongue,e5929a6d66307167,0.013,Blank,8000000000000000,1,Average,ed6c92926d6c9293,0.5773,715.8449575458841,0.005,OEM,1515,"**#565 is seen as OEM in TinMania.**
There exists only 1515 OEM Chopzies in the entire metaverse of TinMania.  
",yes,0x2953399124f0cbb46d2cbacd8a89cf0599974963,60674814258320342811872185747820543606661342593621638378285444988383092801537
1416,C:\Users\twintersx\Documents\layer.bot\finals\#1416.PNG,#1416,1756084,BE9D6D8,d4336bcc2c366363,Curlies,c45729e2893afd0b,0.0125,Shirt,afd02fb4c22dd249,0.0109,Smiley,e4c69b39646666c3,0.0064,Tilted,b232c1c9c83ececd,0.0294,Magnum,ee6491916e6cb591,0.0066,5910064887.784416,0.025,Classic,25,"**#1416 is seen as CLASSIC in TinMania.**
There exists only 25 CLASSIC Chopzies in the entire metaverse of TinMania.  
",yes,0x2953399124f0cbb46d2cbacd8a89cf0599974963,60674814258320342811872185747820543606661342593621638378285444991681627684865
479,C:\Users\twintersx\Documents\layer.bot\finals\#479.PNG,#479,1753323,2B8F5A55,903c4bc9cc3e3c67,Glow,c2872fab353d3434,0.0127,Tee,bfc02f34c22df20b,0.0234,Bummed,e4c69b396c2626cd,0.0297,Beanie,bc34c3c39a3cc3c3,0.0112,Average,ed6c92926d6c9293,0.5773,520428.22419719485,0.005,OEM,1515,"**#479 is seen as OEM in TinMania.**
There exists only 1515 OEM Chopzies in the entire metaverse of TinMania.  
",yes,0x2953399124f0cbb46d2cbacd8a89cf0599974963,60674814258320342811872185747820543606661342593621638378285444993880650940417
1395,C:\Users\twintersx\Documents\layer.bot\finals\#1395.PNG,#1395,1776194,90C40E6D,b4c733cb39868c27,Curlies,94d46966a319b9b9,0.0112,Tee,bfc02db4c02df04f,0.0136,Big Grin,e4ce9b13676c24c3,0.0039,Painted,b03030cfcfcbcb31,0.0072,Average,ed6c92926d6c9293,0.5773,404990100.9377681,0.01,Luxury,147,"**#1395 is seen as LUXURY in TinMania.**
There exists only 147 LUXURY Chopzies in the entire metaverse of TinMania.  
",yes,0x2953399124f0cbb46d2cbacd8a89cf0599974963,60674814258320342811872185747820543606661342593621638378285444996079674195969
1191,C:\Users\twintersx\Documents\layer.bot\finals\#1191.PNG,#1191,1457594,622F7435,b0631cc39d963c79,Glow,95957a5e6a3a6868,0.0127,Tee,bcc23dd30cc33ed0,0.0078,Big Grin,e5929ac9633664cb,0.0033,Cowboy,ad69c3c2969c3c69,0.0152,Widget,ed6d9292966d8949,0.0042,2403545.710632325,0.005,OEM,1515,"**#1191 is seen as OEM in TinMania.**
There exists only 1515 OEM Chopzies in the entire metaverse of TinMania.  
",yes,0x2953399124f0cbb46d2cbacd8a89cf0599974963,60674814258320342811872185747820543606661342593621638378285444998278697451521
145,C:\Users\twintersx\Documents\layer.bot\finals\#145.PNG,#145,1585885,744363A8,a4d35fc924c23dcc,Glow,94906b4f661c7a73,0.0141,Shirt,b6c33cc32dd22fc0,0.0183,Big Grin,e4c69b39643631ce,0.0067,Tin,b03030c6cfcfcbc9,0.1923,Average,ed6c92926d6c9293,0.5773,638.8516864789173,0.005,OEM,1515,"**#145 is seen as OEM in TinMania.**
There exists only 1515 OEM Chopzies in the entire metaverse of TinMania.  
",yes,0x2953399124f0cbb46d2cbacd8a89cf0599974963,60674814258320342811872185747820543606661342593621638378285445000477720707073
1002,C:\Users\twintersx\Documents\layer.bot\finals\#1002.PNG,#1002,1426386,ED3902A2,b0c29ac29fc63d69,Stripez,8aed88efc017c566,0.0123,Red,ad04fb2480ff827d,0.0845,Say Aaah,e48e9b39932666c9,0.0034,Cowboy,ad69c3c2969c3c69,0.0152,Average,ed6c92926d6c9293,0.5773,140.82940067231954,0.005,OEM,1515,"**#1002 is seen as OEM in TinMania.**
There exists only 1515 OEM Chopzies in the entire metaverse of TinMania.  
",yes,0x2953399124f0cbb46d2cbacd8a89cf0599974963,60674814258320342811872185747820543606661342593621638378285445002676743962625
1093,C:\Users\twintersx\Documents\layer.bot\finals\#1093.PNG,#1093,980646,F28FBC7B,e39ec99c3132cc66,Solid,cccc3333cccc3333,0.013,Tee,eb906b94d22ec03f,0.0052,Big Grin,e5929ac9633664cb,0.0033,Tilted,b632c1c1c93ececc,0.1098,Average,ed6c92926d6c9293,0.5773,1213.5362395050656,0.005,OEM,1515,"**#1093 is seen as OEM in TinMania.**
There exists only 1515 OEM Chopzies in the entire metaverse of TinMania.  
",yes,0x2953399124f0cbb46d2cbacd8a89cf0599974963,60674814258320342811872185747820543606661342593621638378285445004875767218177
634,C:\Users\twintersx\Documents\layer.bot\finals\#634.PNG,#634,1685691,5AD5E08A,a4c33fd16dc62d30,Curlies,95c56ac6298b6f0b,0.0257,Tee,acd33dc219e49b34,0.0257,Bummed,e4c69b396c2626cd,0.0297,Tin,b03030c6cfcfcbc9,0.1923,Bent,ed24929b6d64929b,0.0211,246.45535584456553,0.005,OEM,1515,"**#634 is seen as OEM in TinMania.**
There exists only 1515 OEM Chopzies in the entire metaverse of TinMania.  
",yes,0x2953399124f0cbb46d2cbacd8a89cf0599974963,60674814258320342811872185747820543606661342593621638378285445007074790473729
445,C:\Users\twintersx\Documents\layer.bot\finals\#445.PNG,#445,1520850,74A76F22,80274e3db03ee667,Glow,94926b4f661c3a73,0.0356,Shirt,afd02f36c22dd249,0.0197,Widget,bcc09f71e11e6097,0.0043,Painted,b632c1c1c93ececc,0.1098,Widget,e9699296266c9b99,0.0183,13979.65881356537,0.005,OEM,1515,"**#445 is seen as OEM in TinMania.**
There exists only 1515 OEM Chopzies in the entire metaverse of TinMania.  
",yes,0x2953399124f0cbb46d2cbacd8a89cf0599974963,60674814258320342811872185747820543606661342593621638378285445009273813729281
1131,C:\Users\twintersx\Documents\layer.bot\finals\#1131.PNG,#1131,2385825,E79ABDA7,8c1871036ff60ff1,Sky,a01af126ce788df3,0.0109,Tee,bfd02fb0c22db249,0.0035,Smiley,e4ce9b33646c61c3,0.0039,Gold,b03030c6cfcfcbc9,0.1923,Bent,ed2692d96c2693c9,0.0078,61164.52609174704,0.005,OEM,1515,"**#1131 is seen as OEM in TinMania.**
There exists only 1515 OEM Chopzies in the entire metaverse of TinMania.  
",yes,0x2953399124f0cbb46d2cbacd8a89cf0599974963,60674814258320342811872185747820543606661342593621638378285445011472836984833
1036,C:\Users\twintersx\Documents\layer.bot\finals\#1036.PNG,#1036,1275288,E759DD11,e4d33cc326ce2963,Stripez,88e45b10db478e77,0.0114,Shirt,acd32cc31ce22dd6,0.0043,Say Aaah,e48e9b61679c6661,0.0124,Lids,e9698e9696963349,0.0163,Flames,c656b1a94e56b1a9,0.0041,1312573.6681971275,0.005,OEM,1515,"**#1036 is seen as OEM in TinMania.**
There exists only 1515 OEM Chopzies in the entire metaverse of TinMania.  
",yes,0x2953399124f0cbb46d2cbacd8a89cf0599974963,60674814258320342811872185747820543606661342593621638378285445013671860240385
985,C:\Users\twintersx\Documents\layer.bot\finals\#985.PNG,#985,968338,6011C65F,b0c69fd139c22ce6,Solid,99cc663399cc6633,0.0122,Red,ad04fb2480ff827d,0.0845,Cancer Stick,b4e2cb3dd29e2461,0.0029,Painted,b632c1c9c91ececc,0.0248,Flower,ee6a91916e6e9191,0.0108,306030.51491470315,0.005,OEM,1515,"**#985 is seen as OEM in TinMania.**
There exists only 1515 OEM Chopzies in the entire metaverse of TinMania.  
",yes,0x2953399124f0cbb46d2cbacd8a89cf0599974963,60674814258320342811872185747820543606661342593621638378285445015870883495937
1432,C:\Users\twintersx\Documents\layer.bot\finals\#1432.PNG,#1432,1715152,CD58A350,d0c76f1938164e67,Curlies,d4952a662d3a3da9,0.0138,Shirt,afd02dd6c02dd269,0.0111,Widget,e4ce9a3119c6669b,0.0044,Tilted,b232c1c1c93ecece,0.0148,Widget,ed6d9292966d8949,0.0042,23869001542.32704,0.05,Classic,25,"**#1432 is seen as CLASSIC in TinMania.**
There exists only 25 CLASSIC Chopzies in the entire metaverse of TinMania.  
",yes,0x2953399124f0cbb46d2cbacd8a89cf0599974963,60674814258320342811872185747820543606661342593621638378285444948800674201601
15,C:\Users\twintersx\Documents\layer.bot\finals\#15.PNG,#15,1854578,E35F6CB2,d4a43b6133cecd61,Curlies,d4952a662d3a3da9,0.0138,Tin,bdc23fe4c22dd248,0.218,Tongue,e49e9b7186646633,0.0187,Tin,b03030c6cfcfcbc9,0.1923,Bent,ed24929b6d64929b,0.0211,81922.40255436962,0.005,OEM,1515,"**#15 is seen as OEM in TinMania.**
There exists only 1515 OEM Chopzies in the entire metaverse of TinMania.  
",yes,0x2953399124f0cbb46d2cbacd8a89cf0599974963,60674814258320342811872185747820543606661342593621638378285445019169418379265
248,C:\Users\twintersx\Documents\layer.bot\finals\#248.PNG,#248,1290492,2164860C,e4c61b316fc46c33,Flower Fun,95d72b613b607ce0,0.0241,Shirt,b7c03dc24db22fd0,0.0233,Tongue,e48e9b39a6666631,0.0063,Tin,b03030c6cfcfcbc9,0.1923,Average,ed6c92926d6c9293,0.5773,16041.54502760802,0.005,OEM,1515,"**#248 is seen as OEM in TinMania.**
There exists only 1515 OEM Chopzies in the entire metaverse of TinMania.  
",yes,0x2953399124f0cbb46d2cbacd8a89cf0599974963,60674814258320342811872185747820543606661342593621638378285445021368441634817
758,C:\Users\twintersx\Documents\layer.bot\finals\#758.PNG,#758,1228571,21CBCC73,e4cc3be139e60c63,Glow,d892676d9e903173,0.0116,Tin,bdc23fe4c22dd248,0.218,Cancer Stick,e4c69b3965c63493,0.0103,Blank,8000000000000000,1,Nozzle Port,e626999966669999,0.0411,934128.1732810453,0.005,OEM,1515,"**#758 is seen as OEM in TinMania.**
There exists only 1515 OEM Chopzies in the entire metaverse of TinMania.  
100% of TinMania! proceeds from the 'Cancer Stick' trait are donated to the [GO2 Foundation](https://go2foundation.org/get-involved/donate-cryptocurrency/) for Lung Cancer.",yes,0x2953399124f0cbb46d2cbacd8a89cf0599974963,60674814258320342811872185747820543606661342593621638378285445023567464890369
4,C:\Users\twintersx\Documents\layer.bot\finals\#4.PNG,#4,1411195,429E6A8D,cf4df33c3238c161,Hearts,ac4fd39236632785,0.0108,Tee,bfc02f34c22df20b,0.0234,Widget,bcc09f71e11e6037,0.0087,Beanie,bc34c3c31c3cc3d3,0.0138,Average,ed6c92926d6c9293,0.5773,496683.5118747249,0.005,OEM,1515,"**#4 is seen as OEM in TinMania.**
There exists only 1515 OEM Chopzies in the entire metaverse of TinMania.  
",yes,0x2953399124f0cbb46d2cbacd8a89cf0599974963,60674814258320342811872185747820543606661342593621638378285445025766488145921
1000,C:\Users\twintersx\Documents\layer.bot\finals\#1000.PNG,#1000,1025140,431FEB8A,c4bb5b396c4e6431,Glow,95946a6a6f6a7a22,0.0109,Shirt,b7c83dd2c9302fd0,0.0042,Happy,e49edb61383664c9,0.0097,Red,b03030c6cfcfcb99,0.045,Average,ed6c92926d6c9293,0.5773,3531.5017905596956,0.005,OEM,1515,"**#1000 is seen as OEM in TinMania.**
There exists only 1515 OEM Chopzies in the entire metaverse of TinMania.  
",yes,0x2953399124f0cbb46d2cbacd8a89cf0599974963,60674814258320342811872185747820543606661342593621638378285445027965511401473
901,C:\Users\twintersx\Documents\layer.bot\finals\#901.PNG,#901,1001611,B9AB8878,b1c29bd12dc63cb2,Solid,89ad07a50dc537cb,0.0136,Red,ad04fb2480ff827d,0.0845,Tongue,e4ce9b31c6666263,0.005,Red,b03030c6cfcfcb99,0.045,Average,ed6c92926d6c9293,0.5773,2830.394817433874,0.005,OEM,1515,"**#901 is seen as OEM in TinMania.**
There exists only 1515 OEM Chopzies in the entire metaverse of TinMania.  
",yes,0x2953399124f0cbb46d2cbacd8a89cf0599974963,60674814258320342811872185747820543606661342593621638378285445030164534657025
647,C:\Users\twintersx\Documents\layer.bot\finals\#647.PNG,#647,955345,DE459172,b3619f3cc80ec933,Solid,8800220088002200,0.0817,Tee,bfc00f34c32dd24b,0.0253,Widget,bcc09f71650e609f,0.0057,Lids,e131949ececf6990,0.0478,Average,ed6c92926d6c9293,0.5773,36.23852778806549,0.005,OEM,1515,"**#647 is seen as OEM in TinMania.**
There exists only 1515 OEM Chopzies in the entire metaverse of TinMania.  
",yes,0x2953399124f0cbb46d2cbacd8a89cf0599974963,60674814258320342811872185747820543606661342593621638378285445032363557912577
378,C:\Users\twintersx\Documents\layer.bot\finals\#378.PNG,#378,1457809,E0D497E8,b1c21e9c4dce6d31,Glow,95957ade6a4a2968,0.0239,Shirt,b7c03dc24db22fd0,0.0233,Big Grin,e4ce9b31616c64d3,0.0093,Lids,e1618e9e9e963169,0.0142,Average,ed6c92926d6c9293,0.5773,219056.56645146277,0.005,OEM,1515,"**#378 is seen as OEM in TinMania.**
There exists only 1515 OEM Chopzies in the entire metaverse of TinMania.  
",yes,0x2953399124f0cbb46d2cbacd8a89cf0599974963,60674814258320342811872185747820543606661342593621638378285445034562581168129
844,C:\Users\twintersx\Documents\layer.bot\finals\#844.PNG,#844,1499284,57909C63,94cc1b613ce73cb2,Glow,94926b4f661c3a73,0.0356,Rivet,bdc23dc4d22d92c9,0.0047,Bummed,e4ce9b316c6664cc,0.0055,Blank,8000000000000000,1,Average,ed6c92926d6c9293,0.5773,48.657349108694675,0.005,OEM,1515,"**#844 is seen as OEM in TinMania.**
There exists only 1515 OEM Chopzies in the entire metaverse of TinMania.  
",yes,0x2953399124f0cbb46d2cbacd8a89cf0599974963,60674814258320342811872185747820543606661342593621638378285445036761604423681
621,C:\Users\twintersx\Documents\layer.bot\finals\#621.PNG,#621,1551173,E05C95F7,b49d5b396c664c31,Glow,95957ade6a4a2968,0.0239,Tee,bfc02f34c22df20b,0.0234,Big Grin,e4ce9b31656c6493,0.0137,Tin,b03030c6cfcfcbc9,0.1923,Nozzle Port,e626999966669999,0.0411,226237.78259646427,0.005,OEM,1515,"**#621 is seen as OEM in TinMania.**
There exists only 1515 OEM Chopzies in the entire metaverse of TinMania.  
",yes,0x2953399124f0cbb46d2cbacd8a89cf0599974963,60674814258320342811872185747820543606661342593621638378285445038960627679233
1161,C:\Users\twintersx\Documents\layer.bot\finals\#1161.PNG,#1161,1303479,D5804488,b1c21ec36df64c31,Stripez,8aed88efc017c566,0.0123,Shirt,afd02fb4c22dd249,0.0109,Big Grin,e4869b79313466e3,0.0035,Gold,b03030c6cfcfcbc9,0.1923,Bent,ed2692d96c2693c9,0.0078,4972725.69851602,0.005,OEM,1515,"**#1161 is seen as OEM in TinMania.**
There exists only 1515 OEM Chopzies in the entire metaverse of TinMania.  
",yes,0x2953399124f0cbb46d2cbacd8a89cf0599974963,60674814258320342811872185747820543606661342593621638378285445041159650934785
1140,C:\Users\twintersx\Documents\layer.bot\finals\#1140.PNG,#1140,1532697,D8A9A3A6,b4d08fc3c99e3c26,Stripez,aaef10c1cc7dcc26,0.0139,Gold,ad00ff24837d836d,0.092,Widget,bce09f61e13e600f,0.0033,Beanie,bc34c3c3983cc3d3,0.0413,Average,ed6c92926d6c9293,0.5773,32797.87929720604,0.005,OEM,1515,"**#1140 is seen as OEM in TinMania.**
There exists only 1515 OEM Chopzies in the entire metaverse of TinMania.  
",yes,0x2953399124f0cbb46d2cbacd8a89cf0599974963,60674814258320342811872185747820543606661342593621638378285445042259162562561
349,C:\Users\twintersx\Documents\layer.bot\finals\#349.PNG,#349,1339391,F9D710E8,b1e40b9ccdce4d34,Glow,95812b926139df76,0.0122,Tin,bdc23fe4c22dd248,0.218,Tats,e5c69a39316633cc,0.005,Lids,e3339b9acccc6c30,0.0148,Average,ed6c92926d6c9293,0.5773,44006.86214421418,0.005,OEM,1515,"**#349 is seen as OEM in TinMania.**
There exists only 1515 OEM Chopzies in the entire metaverse of TinMania.  
",yes,0x2953399124f0cbb46d2cbacd8a89cf0599974963,60674814258320342811872185747820543606661342593621638378285445043358674190337
1430,C:\Users\twintersx\Documents\layer.bot\finals\#1430.PNG,#1430,1190597,225A06BE,c4679239992e87cb,Curlies,94c568e69b9bc90b,0.0161,Tee,bfc02f30c82fb0cb,0.0072,Cancer Stick,e4c69a3969c63693,0.0031,Painted,b632c1c1c93ececc,0.1098,Flames,ec4493bb6c4492bb,0.0077,3291447015.8339725,0.01,Luxury,147,"#1430 is seen as LUXURY in TinMania.
There exists only 147 LUXURY Chopzies in the entire metaverse of TinMania.  
100% of TinMania! proceeds from the 'Cancer Stick' trait are donated to the [GO2 Foundation](https://go2foundation.org/get-involved/donate-cryptocurrency/) for Lung Cancer.",no,,
489,C:\Users\twintersx\Documents\layer.bot\finals\#489.PNG,#489,1454214,98258066,f06c3f8719c20ee6,Glow,95957a5e6a5a286a,0.013,Tin,bdc23fe4c22dd248,0.218,Soop,e4c69b39653066c7,0.005,Umbrella,f77f8c889b73a080,0.0147,Widget,ca4ab5b5664ad549,0.0092,2609125.636078739,0.005,OEM,1515,"#489 is seen as OEM in TinMania.
There exists only 1515 OEM Chopzies in the entire metaverse of TinMania.  
",no,,
519,C:\Users\twintersx\Documents\layer.bot\finals\#519.PNG,#519,1238046,38C01A3A,b41ccb69d9368c63,Glow,95947a5e685d2276,0.0097,Tee,bfc00f34c32dd24b,0.0253,Big Grin,e4ce9b316d646493,0.0117,Beanie,bc34c3c31c3cc3d3,0.0138,Bent,ed24929b6d64929b,0.0211,354051.73262296396,0.005,OEM,1515,"#519 is seen as OEM in TinMania.
There exists only 1515 OEM Chopzies in the entire metaverse of TinMania.  
",no,,
